Time,PtfmTDX_Floater,PtfmTDY_Floater,PtfmTDZ_Floater,PtfmRDX_Floater,PtfmRDY_Floater,PtfmRDZ_Floater,Vx_Floater_local,Vy_Floater_local,Vz_Floater_local,Wx_Floater,Wy_Floater,Wz_Floater
1178.75,26.185739937953112,-44.85027260143146,16.140154750751144,-0.16782212257385254,-1.573973298072815,0.18131385743618011,0.06949673647215561,0.010674175459546494,-0.1556442973732473,-0.049857404083013535,0.07644444704055786,0.18993578851222992
1179.0,26.200932485596645,-44.84792341372291,16.097545643544052,-0.1790454387664795,-1.554316759109497,0.22659465670585632,0.052041000380619463,0.008158417777948004,-0.18520079060350808,-0.030100209638476375,0.07968651503324509,0.17270375788211823
1179.25,26.21190040345355,-44.846520284225576,16.04817181989113,-0.18514487147331238,-1.5341665744781494,0.26706361770629883,0.03569916893472608,0.0030980576738473854,-0.20977345455594135,-0.010025477036833763,0.0804833322763443,0.15148413181304932
1179.5,26.218931796938143,-44.84664945054602,15.993248793032588,-0.18600663542747498,-1.5141671895980837,0.3017868101596832,0.020546814561951572,-0.004107894397418274,-0.22960420249307026,0.010471925139427185,0.07862437516450882,0.12675164639949799
1179.75,26.222309990902954,-44.8487923676779,15.933936462806908,-0.18152424693107605,-1.4950013160705566,0.3299427628517151,0.006471993080732392,-0.013020980390879495,-0.24490057363028397,0.031266458332538605,0.07400340586900711,0.09893027693033218
1180.0,26.22227768019046,-44.85330489965938,15.871379294797132,-0.17168837785720825,-1.4773571491241457,0.35081151127815247,-0.006738913907670641,-0.023073905768245462,-0.25557727432604943,0.051733776926994324,0.06666328758001328,0.06841021776199341
1180.25,26.219029528468827,-44.86038741402316,15.806768372370255,-0.15670311450958252,-1.4618738889694214,0.3637699782848358,-0.019257768628639576,-0.03358965939526946,-0.26134332460250626,0.0708114504814148,0.056929577142000205,0.03558257222175598
1180.5,26.212726806668442,-44.87005762035176,15.741378867720442,-0.13707238435745242,-1.4490731954574587,0.368298202753067,-0.03117906927475417,-0.0437836260990881,-0.26181503569112846,0.08717969059944153,0.04539454728364945,0.0008929051109589637
1180.75,26.20351224557896,-44.88213106505994,15.676570513332956,-0.11362274736166,-1.4393078088760376,0.36400094628334045,-0.042556234184949464,-0.052821480377131365,-0.2566965446511694,0.09959204494953156,0.03279564902186394,-0.03509429469704628
1181.0,26.19151509956758,-44.896218422152536,15.613743053172815,-0.08744508773088457,-1.4327423572540283,0.35064467787742615,-0.053441966374753194,-0.05989835436030573,-0.24596259009767446,0.10720041394233704,0.01988421194255352,-0.07163801044225693
1181.25,26.176846413643432,-44.911747822928135,15.55425149155068,-0.0597647987306118,-1.429366946220398,0.32820525765419006,-0.06393021719889075,-0.06435787039879601,-0.22999581376108072,0.10980559140443802,0.007294164039194584,-0.10779736191034317
1181.5,26.159588870102283,-44.92801694780361,15.499298950757264,-0.03176964819431305,-1.4290372133255005,0.296917200088501,-0.0741529902258327,-0.06581284940648591,-0.20963156030516078,0.10794804245233536,-0.00453150924295187,-0.14244168996810916
1181.75,26.13979886536307,-44.94426098554243,15.449839341836759,-0.004451189190149307,-1.4315179586410522,0.257316917181015,-0.08419064247482504,-0.06415171456830504,-0.18602915415545695,0.10270999372005463,-0.015307541936635971,-0.17428797483444214
1182.0,26.117532032891408,-44.959713444167654,15.40652633848485,0.021485362201929092,-1.4365166425704956,0.2102726846933365,-0.09396862680934412,-0.05947397776535573,-0.16043686806027527,0.0953621193766594,-0.02484217844903469,-0.20196828246116638
1182.25,26.092890591992834,-44.973644900300485,15.369722150335921,0.045620087534189224,-1.4436984062194824,0.15699465572834015,-0.10318847737478079,-0.051978504549753134,-0.13394106828518326,0.08698464930057526,-0.03296991065144539,-0.22412090003490445
1182.5,26.066081351358882,-44.985371282303035,15.339562226786434,0.06773344427347183,-1.4526861906051636,0.09902052581310272,-0.11131343862286555,-0.04183097435564953,-0.10727029131571404,0.07816933095455171,-0.03950056433677673,-0.23949326574802401
1182.75,26.03746574078172,-44.99423553427643,15.316054243637936,0.08767270296812057,-1.4630579948425293,0.038175199180841446,-0.11764191498325144,-0.029082433124446142,-0.08072009571912123,0.06892350316047668,-0.04423897713422775,-0.24704602360725403
1183.0,26.00758791774523,-44.999579848167656,15.299176688576933,0.10522325336933136,-1.4743539094924927,-0.02349179983139038,-0.12141300911178837,-0.01367497412032779,-0.054227456879316946,0.05879911035299301,-0.04705462232232094,-0.24602773785591123
1183.25,25.977176339987103,-45.000731603878535,15.288942383424752,0.12003298848867416,-1.4860988855361938,-0.08378912508487701,-0.12191179189355848,0.004453338962465208,-0.027580993111727587,0.04718465730547905,-0.04793326184153557,-0.2360599189996719
1183.5,25.947113812312757,-44.997023265406995,15.285402834332197,0.13161732256412506,-1.4978325366973877,-0.1404905617237091,-0.11861936780491306,0.02520216854976853,-0.0006766390875519614,0.03365094587206841,-0.046995896846055984,-0.2172459214925766
1183.75,25.918379290412222,-44.987858294400226,15.288592796990821,0.1394515484571457,-1.5091469287872314,-0.19145533442497253,-0.11128528030487643,0.04810697605335914,0.026246430484891472,0.018298644572496418,-0.04452630877494812,-0.19016943871974948
1184.0,25.89199225581121,-44.97280815234663,15.298433343178,0.1431126892566681,-1.5197128057479858,-0.23473919928073883,-0.09983805048703703,0.07228665795175374,0.05252038367249002,0.0018149826209992173,-0.04087883234024048,-0.1558181196451187
1184.25,25.868977185191735,-44.951705602267026,15.314636846512391,0.14240464568138123,-1.529280185699463,-0.26868775486946106,-0.08430827491821485,0.09653450813427387,0.07714605132085714,-0.014729713089764118,-0.03634707257151604,-0.1155218333005905
1184.5,25.85032750798054,-44.92472213376138,15.336646208072153,0.13744290173053741,-1.5376719236373901,-0.29201483726501465,-0.06491388425075682,0.11934618351653886,0.09896492146750785,-0.029985645785927773,-0.031242599710822105,-0.07089169323444366
1184.75,25.83695186555126,-44.892413380937434,15.363632993618511,0.12867961823940277,-1.5447850227355957,-0.3038654327392578,-0.04211542830293374,0.13914919993118063,0.1169645435162161,-0.04269820079207421,-0.025880135595798492,-0.023761471733450893
1185.0,25.829608979948013,-44.855696329799386,15.394572608233831,0.1168237254023552,-1.550581455230713,-0.3038654625415802,-0.016649065091244076,0.1546237672496876,0.13058711959159736,-0.0521734282374382,-0.020494556054472923,0.023860983550548553
1185.25,25.828821656308694,-44.81577573604381,15.428371247302984,0.10269556194543839,-1.5550788640975954,-0.29216161370277405,0.01033384886872439,0.1647868763865438,0.13983694059319063,-0.05833390355110169,-0.015320367179811,0.0698222666978836
1185.5,25.83477397938202,-44.77405120180501,15.464001426339719,0.08707704395055771,-1.5583478212356567,-0.26944899559020996,0.037277784749336136,0.16906077625783775,0.1452368763243804,-0.06168967857956886,-0.010555306449532509,0.1118908002972603
1185.75,25.847229187088487,-44.73201502103802,15.500607131144248,0.07058550417423248,-1.5604921579360962,-0.23697553575038913,0.06237144915213178,0.16727647977759358,0.14762940288178855,-0.06316856294870377,-0.006274833343923092,0.1478777527809143
1186.0,25.865487310336178,-44.69116849746724,15.537544260331055,0.05361839383840561,-1.561620831489563,-0.1965123862028122,0.08370794953055369,0.15955366031466806,0.14790856946319292,-0.0637567937374115,-0.002456448972225189,0.1757867932319641
1186.25,25.888388425367722,-44.65296172078035,15.574366982088705,0.036374714225530624,-1.561829686164856,-0.15028232336044312,0.09953117245497944,0.14614959447860157,0.14670538114205472,-0.06411109119653702,0.001021091127768159,0.19399893283843994
1186.5,25.914389574855626,-44.61878464959263,15.610711068481402,0.018985671922564507,-1.5611685514450073,-0.10084120184183122,0.10851862988977029,0.12731237038206564,0.14408636829387336,-0.06422743201255798,0.0043984088115394115,0.20146866142749786
1186.75,25.94168677716577,-44.58994947093266,15.646187198926151,0.0016495438758283854,-1.5596364736557007,-0.05091242492198944,0.10990700427929948,0.10340743524621304,0.13976625088903388,-0.06359637528657913,0.007869933731853962,0.1978994905948639
1187.0,25.968364190328302,-44.567640539252466,15.680329713546902,-0.01528460718691349,-1.5572082996368408,-0.0031865292694419622,0.10356167029918235,0.07509380143353168,0.13342217735985715,-0.06151391565799713,0.011453707702457905,0.1838502585887909
1187.25,25.992567636952483,-44.552839371566165,15.712586591244017,-0.0312885157763958,-1.5538679361343384,0.039898984134197235,0.09011253377872558,0.04333459791075253,0.12468238703317071,-0.05718899145722389,0.01508204359561205,0.16078492999076843
1187.5,26.01268718572314,-44.54623224103068,15.742350820219215,-0.0456928312778473,-1.5496325492858887,0.07636727392673492,0.07088178029775369,0.009528092528396587,0.1134743207476769,-0.05017472431063652,0.018573159351944923,0.1309254765510559
1187.75,26.027505816598453,-44.548099401374806,15.769066695567696,-0.05781797692179679,-1.5445775985717776,0.10485433042049408,0.04769230793892721,-0.02447505550243524,0.10028425982845236,-0.040698107331991196,0.02164299786090851,0.09695076942443848
1188.0,26.03630760455198,-44.558232455573304,15.792340836933475,-0.06712649762630463,-1.5388410091400149,0.12468778342008592,0.02272964843225774,-0.056614202694352904,0.08592764158958806,-0.029516218230128292,0.02406926080584526,0.06171289831399918
1188.25,26.038936442605053,-44.57590799809577,15.81201127349849,-0.07333824783563614,-1.532606840133667,0.13589362800121307,-0.0017088539089599392,-0.08482951562567978,0.07143873904641872,-0.017777096480131153,0.02569710649549961,0.027944767847657204
