Time,telescoping,luffing,slewing,telescoping_vel,luffing_vel,slewing_vel
1303.5,0.11308068755979406,3.376619671308573,0.9351205160619326,-0.4055481737081143,0.7175675320389052,-0.29647571239979964
1303.75,0.007479342254494981,3.5424179262231013,0.8619000942606347,-0.4393624163524877,0.5961716121355423,-0.2764773199607391
1304.0,-0.10558166368016231,3.674705477376344,0.796881856081563,-0.4653005929285439,0.44996358359574185,-0.23259917291670074
1304.25,-0.22397154883566728,3.767399718020972,0.7456005078022844,-0.48203313984804286,0.2811372087384676,-0.16963634885418077
1304.5,-0.3452385286842947,3.815274081745578,0.7120636816544726,-0.4881935865006018,0.09232735020124849,-0.09338009291598115
1304.75,-0.46653885183112465,3.8135633931215964,0.6989104613442938,-0.4825405491279765,-0.11223056908867246,-0.011273557765102193
1305.0,-0.5848591544379147,3.7591587972012417,0.7064269027719215,-0.4641541822237535,-0.32648284885857315,0.06834547854920081
1305.25,-0.6969553947682172,3.65032196869231,0.7330832006188942,-0.4324674352762983,-0.5443906224239852,0.13864220257088355
1305.5,-0.7994426140940298,3.486963485989249,0.7757480040573633,-0.38746435608878477,-0.7581342964739344,0.1930117266942175
1305.75,-0.8891075917861073,3.2712548204553427,0.829589063966003,-0.3298313769026223,-0.9587280262439126,0.22646016024448068
1306.0,-0.962952978093444,3.007599472867293,0.8889780841796037,-0.2609071858168669,-1.1367378589025208,0.23702936748454673
1306.25,-1.018412667615003,2.7028858910040823,0.9481037477082763,-0.18270977071770214,-1.2821003721743303,0.22541795933223008
1306.5,-1.0534923754147805,2.3665492867801277,1.0016870638457187,-0.09790598649404438,-1.3847764618955063,0.19489439763439753
1306.75,-1.066944790200111,2.010497660056329,1.045550946525475,-0.009684892437987296,-1.4354986523181683,0.15069143485022662
1307.0,-1.0583565717971268,1.6487999606210435,1.077032781270832,0.07840419179035396,-1.4267700679441182,0.09917242035027574
1307.25,-1.0282231850154275,1.29711262608427,1.095137156700613,0.1626559437212305,-1.3539271372355404,0.046859199998093626
1307.5,-0.977958047352935,0.9718363920032733,1.1004623812698788,0.2394258328456434,-1.2161158920202568,-0.0005109864281727106
1307.75,-0.9098498883133885,0.6890546800741416,1.0948816634865266,0.3053752191133086,-1.0169489821836275,-0.038550064124092565
1308.0,-0.8269635369884405,0.4633619009114596,1.0811873492078325,0.35768835507259605,-0.764668920084889,-0.06450900907138157
1308.25,-0.7329743954861385,0.30672022003169713,1.0626271589508358,0.3942755300663193,-0.47171251434922506,-0.07733951438244935
1308.5,-0.6319621798270241,0.2275056437368471,1.0425175920166079,0.41393505841679346,-0.15368500060287799,-0.07751798549449784
1308.75,-0.528186489538804,0.22987771973025814,1.023868166203587,0.4164468673531659,0.1720861107585659,-0.06694145184937961
1309.0,-0.4258302375136047,0.31354869911613004,1.009046866091918,0.40262438072900597,0.4881100734150133,-0.04880161922141757
1309.25,-0.3287445680514516,0.4739327564377648,0.9994673565928781,0.37431665496727246,0.7781093966851034,-0.027356419413488764
1309.5,-0.2401932836306031,0.7026033974586817,0.9953686563851737,0.33430594173651246,1.0280016939387007,-0.007443643512210274
1309.75,-0.16266234090503318,0.9879336034071151,0.995745534836773,0.28610047644316083,1.226361640917968,0.006089073668448686
1310.0,-0.0977033027501264,1.3157842179176658,0.998413193219398,0.23363027066486386,1.3644820493267815,0.009160892806739707
1310.25,-0.045891682368594644,1.6701746280705059,1.0003259812401428,0.18083201525425235,1.4363111801303607,-0.0007629331191301159
1310.5,-0.006866279540520992,2.033939807982846,0.998031726659833,0.13120394845254443,1.438577175827525,-0.024026097447286787
1310.75,0.02049172836736446,2.3894632159842684,0.9883129325164994,0.08742470903963113,1.3712389111381897,-0.058548949062783295
1311.0,0.03784512444349275,2.719559263551941,0.9687572521284413,0.051123957471419595,1.2381148360943035,-0.10001577065537215
1311.25,0.04712196489721521,3.00852063403142,0.9383050471888134,0.022823707954025385,1.0475108511727056,-0.14239410278040276
1311.5,0.05025616027056046,3.243314689138294,0.8975602007382399,0.0020357568124248094,0.8125524462246974,-0.17893835961958526
1311.75,0.04896914708757194,3.414796857143769,0.8488358673790207,-0.012522058817632103,0.5508733099842988,-0.2030948151768701
1312.0,0.04458457754287792,3.518751344130443,0.7960127931498049,-0.022683083293813272,0.2834138263839563,-0.20940046504158927
1312.25,0.037929349726827155,3.556503770335747,0.7441356348582261,-0.030634075770085437,0.03240689074794734,-0.19396871378380798
1312.5,0.02926861585610041,3.534954789504417,0.6990284362579009,-0.03873616161594337,-0.18111049263058465,-0.15469243539547128
1312.75,0.018273420132295826,3.4659485240204546,0.6667894171604904,-0.049337422276436005,-0.3398193462611223,-0.09132357238788091
1313.0,0.004063715114607902,3.3650451163738557,0.6533666500639604,-0.06450466962080798,-0.43213386244041185,-0.00538274519150117
1313.25,-0.014682636105984415,3.2498815928002487,0.6640980445647399,-0.08568017293093308,-0.45336639932197187,0.09982743311138842
1313.5,-0.03954391961151771,3.13836191671287,0.7032803666196547,-0.11340575247301718,-0.4059444703941475,0.21916834927828388
1313.75,-0.07208729845298123,3.046909357603175,0.7736822192038818,-0.14714972583028743,-0.29878136447348336,0.3457380406910229
1314.0,-0.11362241581149135,2.988971234476128,0.8761493869651661,-0.1852943883846563,-0.1460721590260725,0.47110576871327026
1314.25,-0.16494407188197258,2.9738732780901387,1.009235103560517,-0.22535719422133807,0.034150140613394164,0.5857353016714322
1314.5,-0.22615532021097806,3.006046304782825,1.1690170378008822,-0.26435804016840014,0.2215044420486123,0.6797783122540655
1314.75,-0.29660412513215206,3.084625499114445,1.3491242596875497,-0.29924962461761595,0.3947148088262695,0.7441534221779942
1315.0,-0.3749244361955739,3.20340370919596,1.5410937488898793,-0.3273164384517072,0.5330386642577505,0.771638714589971
1315.25,-0.4591344906242547,3.35114483124332,1.7349436169825352,-0.3464427578183375,0.6176358868801968,0.7578365463551879
1315.5,-0.5468219734109425,3.5122216526360583,1.9200120220674732,-0.35518207234054944,0.6333120345866448,0.7015933970125507
1315.75,-0.6352857431527958,3.6678008485366425,2.0857403154888106,-0.35277075821161324,0.569430275192178,0.6051843699459956
1316.0,-0.7217425439829412,3.7969367902321474,2.222604207040471,-0.33918511623051667,0.42075237750533834,0.47412526328781723
1316.25,-0.8034459406751786,3.8781770372893116,2.322802947132719,-0.3147657285934028,0.18919456316619065,0.3160570257694104
